127.0.0.1, 2018-05-17 14:35:33, GET, /, HTTP/1.1, 303, 0.002501
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/default/index, HTTP/1.1, 200, 1.794868
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001501
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-05-17 14:35:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-05-17 14:35:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-17 14:35:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001501
127.0.0.1, 2018-05-17 14:35:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000500
127.0.0.1, 2018-05-17 14:35:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000499
127.0.0.1, 2018-05-17 14:36:01, GET, /main, HTTP/1.1, 200, 0.834105
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001503
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.001004
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.001505
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.001492
127.0.0.1, 2018-05-17 14:36:01, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.001002
